ID,Gender,Age,Work_Attire,Weather,Casual,Preferred_Styles,Clothing_items,Bottom_Type,Top_Type,Shoe_Type,Colors,Patterns,Fabrics,Top_Fit,Bottom_Fit
Outfit45,Woman,YoungAdult,Semi-Formal,Mild,Sometimes,Classy; Streetwear,T-shirts; Pants; Blazers; Sneakers,Trousers,T-shirts,Sneakers,Neutral,Plain,Cotton; Wool,Fitted,Straight
Outfit46,Woman,Adult,Casual,Warm,Sometimes,Classy; Sexy,Dresses,N/A,N/A,N/A,Neutral ,Plain,Cotton,Loose,Loose
Outfit47,Woman,YoungAdult,Semi-Formal,Mild,Rarely,Classy; Showy,Dresses; Jeans; Heels,Trousers,N/A,Heels,Cool ,Plain,Denim,Loose,Fitted; Loose
Outfit48,Woman,YoungAdult,Casual,Warm,Often,Casual; Laidback; Streetwear,Shirts; Shorts; Sneakers,Shorts,T-shirts,Sneakers,Warm; Neutral,Stripes,Cotton,Loose,Fitted
Outfit49,Woman,Senior,Casual,Cold,Often,Casual; Laidback,T-shirts; Leggings; Jackets; Sneakers,Trousers,T-shirts,Sneakers,Neutral; Cool ,Plain,Cotton; Denim,Fitted,Tight
Outfit50,Woman,YoungAdult,Casual,Warm,Often,Casual; Bohemian,Blouses; Pants; Sandals,Trousers,T-shirts,Sandals,Warm; Neutral,Plain,Cotton,Loose,Fitted
Outfit51,Woman,Adult,Casual,Mild,Often,Casual; Streetwear,T-shirts; Jeans; Shoes,Trousers,T-shirts,Flats,Neutral; Cool ,Stripes,Cotton; Denim,Fitted,Loose
Outfit52,Woman,YoungAdult,Semi-Formal,Mild,Sometimes,Classy; Formal,Shirts; Jeans; Athletic_tops; Flats,Trousers,T-shirts,Flats,Warm; Neutral ,Plain,Cotton; Denim,Loose,Straight
Outfit53,Woman,YoungAdult,Corporate,Mild,Rarely,Classy; Formal,Blouses; Pants; Heels,Trousers,T-shirts,Heels,Neutral ,Plain,Cotton,Fitted,Fitted
Outfit54,Woman,Adult,Casual,Warm,Sometimes,Colorful; Streetwear; Showy,Shirts; Jeans; Loafers,Trousers,N/A,Flats,Warm; Cool ,Florals,Denim,Fitted,Loose
Outfit55,Woman,Adult,Casual,Mild,Sometimes,Classy; Bohemian,Blouses; Jeans; Sandals,Trousers,T-shirts,Sandals,Neutral; Warm ,Plain,Cotton; Denim,Loose,Loose
Outfit56,Woman,Adult,Casual,Warm,Sometimes,Casual; Laidback,T-shirts; Skirts; Sneakers,Skirts,T-shirts,Sneakers,Neutral; Warm ,Plain,Cotton,Fitted,Fitted
Outfit57,Woman,YoungAdult,Casual,Mild,Often,Casual; Laidback,T-shirts; Jeans; Sneakers,Trousers,T-shirts,Sneakers,Neutral; Cool ,Plain,Cotton; Denim,Fitted,Fitted
Outfit58,Woman,YoungAdult,Casual,Cold,Often,Casual; Showy,Dresses; Boots,N/A,N/A,Boots,Neutral ,Plain,Cotton,Tight,Loose
Outfit59,Woman,Adult,Casual,Mild,Sometimes,Casual; Laidback; Streetwear,T-shirts; Jeans; Sneakers,Trousers,T-shirts,Sneakers,Neutral ,Plain,Cotton; Denim,Fitted,Straight
Outfit60,Woman,Adult,Casual,Mild,Sometimes,Casual; Laidback,Shirts; Skirts; Sandals,Skirts,T-shirts,Sandals,Neutral; Warm ,Plain,Cotton,Fitted,Fitted
Outfit61,Woman,Adult,Casual,Warm,Often,Casual; Laidback,T-shirts; Shorts; Sneakers,Shorts,T-shirts,Sneakers,Neutral,Plain,Cotton,Fitted,Straight
Outfit62,Woman,Adult,Casual,Warm,Often,Casual; Streetwear,Shirts; Jeans; Sneakers,Trousers,T-shirts,Sneakers,Neutral; Cool ,Plain,Cotton; Denim,Fitted,Straight
Outfit63,Woman,Adult,Semi-Formal,Mild,Sometimes,Classy; Streetwear,T-shirts; Pants; Blazers; Sneakers,Trousers,T-shirts,Sneakers,Neutral; Cool ,Plain,Cotton,Fitted,Straight
Outfit64,Woman,YoungAdult,Casual,Mild,Often,Casual; Laidback; Bohemian,T-shirts; Skirts; Sandals,Skirts,T-shirts,Sandals,Neutral,Plain,Cotton,Fitted,Fitted
Outfit65,Woman,Adult,Casual,Warm,Sometimes,Casual; Streetwear,T-shirts; Jeans; Sneakers,Trousers,T-shirts,Sneakers,Neutral; Cool,Plain,Cotton; Denim,Fitted,Straight
Outfit66,Woman,Adult,Casual,Mild,Sometimes,Casual; Laidback,Shirts; Pants; Sneakers,Trousers,T-shirts,Sneakers,Neutral; Cool,Plain,Cotton,Fitted,Straight
Outfit67,Woman,Adult,Casual,Mild,Often,Casual; Laidback,Shirts; Jeans; Sneakers,Trousers,T-shirts,Sneakers,Neutral; Cool,Plain,Cotton; Denim,Fitted,Straight
Outfit68,Woman,Adult,Casual,Warm,Often,Casual; Laidback; Streetwear,Shirts; Skirts; Sneakers,Skirts,T-shirts,Sneakers,Neutral; Warm ,Plain,Cotton,Fitted,Fitted
Outfit69,Woman,Adult,Casual,Warm,Often,Casual; Laidback; Streetwear,T-shirts; Skirts; Sneakers,Skirts,T-shirts,Sneakers,Neutral,Plain,Cotton,Fitted,Fitted
Outfit70,Woman,Adult,Semi-Formal,Warm,Sometimes,Classy; Formal,Shirts; Skirts; Heels,Skirts,T-shirts,Heels,Warm; Neutral ,Plain,Cotton,Fitted,Fitted
Outfit71,Woman,Adult,Casual,Mild,Often,Casual; Laidback,T-shirts; Jeans; Sneakers,Trousers,T-shirts,Sneakers,Neutral; Cool ,Plain,Cotton; Denim,Fitted,Straight
Outfit72,Woman,Adult,Casual,Warm,Often,Casual; Laidback,Shirts; Shorts; Sneakers,Shorts,T-shirts,Sneakers,Neutral; Warm ,Plain,Cotton,Fitted,Straight
Outfit73,Woman,Adult,Casual,Warm,Often,Casual; Laidback,Shirts; Jeans; Sneakers,Trousers,T-shirts,Sneakers,Neutral; Cool ,Plain,Cotton; Denim,Fitted,Straight
Outfit74,Woman,Adult,Semi-Formal,Warm,Sometimes,Classy,Shirts; Skirts; Heels,Skirts,T-shirts,Heels,Warm; Neutral,Plain,Cotton,Fitted,Fitted
Outfit75,Woman,Adult,Casual,Mild,Sometimes,Casual; Laidback; Streetwear,Shirts; Skirts; Sandals,Skirts,T-shirts,Sandals,Neutral; Warm ,Plain,Cotton,Fitted,Fitted
Outfit76,Woman,Adult,Casual,Mild,Sometimes,Casual; Laidback,Shirts; Skirts; Sandals,Skirts,T-shirts,Sandals,Neutral; Warm ,Plain,Cotton,Fitted,Fitted
Outfit77,Woman,Adult,Casual,Mild,Sometimes,Casual; Laidback,T-shirts; Skirts; Sneakers,Skirts,T-shirts,Sneakers,Neutral; Warm ,Plain,Cotton,Fitted,Fitted
Outfit78,Woman,Adult,Casual,Mild,Sometimes,Casual; Laidback,T-shirts; Skirts; Sneakers,Skirts,T-shirts,Sneakers,Neutral; Warm ,Plain,Cotton,Fitted,Fitted
Outfit79,Woman,YoungAdult,Casual,Mild,Often,Casual; Streetwear,T-shirts; Shorts; Sneakers,Shorts,T-shirts,Sneakers,Neutral,Plain,Cotton,Loose,Fitted
Outfit80,Woman,YoungAdult,Casual,Warm,Often,Casual; Streetwear,T-shirts; Shorts; Sneakers,Shorts,T-shirts,Sneakers,Neutral ,Plain,Cotton,Loose,Fitted
Outfit81,Woman,YoungAdult,Casual,Warm,Often,Casual; Streetwear,T-shirts; Shorts; Sneakers,Shorts,T-shirts,Sneakers,Neutral,Plain,Cotton,Loose,Fitted
Outfit82,Woman,YoungAdult,Casual,Warm,Sometimes,Classy; Laidback,Athletic_tops; Shirts; Leggings; Boots,Trousers,Tanks,Boots,Neutral,Plaids,Cotton; N/A,Tight,Tight
Outfit83,Woman,YoungAdult,Casual,Warm,Often,Casual; Streetwear,Shirts; Athletic_tops; Shorts; Sandals,Shorts,Tanks,Sandals,Cool,Plain,Cotton; N/A,Tight,Loose
Outfit84,Woman,YoungAdult,Casual,Cold,Often,Grungy; Laidback,Hoodies; Jackets; Leggings; Sneakers,Trousers,Sweaters,Sneakers,Neutral,Plain,Cotton; N/A; Faux Leather,Loose,Tight
Outfit85,Woman,YoungAdult,Casual,Warm,Often,Sporty; Casual,T-shirts; Jeans; Sneakers,Trousers,T-shirts,Sneakers,Cool; Warm,Plain,Cotton; Denim,Tight,Loose
Outfit86,Woman,YoungAdult,Casual,Warm,Often,Sporty; Streetwear,Athletic_tops; Shirts; Shorts; Sneakers,Shorts,Tanks,Sneakers,Cool; Neutral,Plain,Cotton; N/A,Tight,Tight
Outfit87,Woman,YoungAdult,Casual,Warm,Often,Classy; Laidback,Athletic_tops; Cardigans; Jeans; Sandals,Trousers,Tanks,Sandals,Neutral,Plain,Cotton; N/A,Tight,Straight
Outfit88,Woman,YoungAdult,Casual,Warm,Often,Classy; Laidback,Athletic_tops; Cardigans; Skirts; Sneakers,Skirts,Tanks,Sneakers,Neutral,Plain,Cotton; N/A,Tight,Loose
Outfit89,Woman,YoungAdult,Casual,Cold,Sometimes,Classy; Laidback,Athletic_tops; Cardigans; Jeans; Sandals,Trousers,Tanks,Sandals,Neutral,Plain,Cotton; Denim,Tight,Loose
Outfit90,Woman,YoungAdult,Casual,Cold,Sometimes,Classy; Showy,Blouses; Coats; Jeans; Boots,Trousers,Tanks,Boots,Warm; Neutral,Plain,N/A; Denim,Tight,Straight
Outfit91,Woman,YoungAdult,Casual,Warm,Often,Classy; Laidback,Jumpsuits; Cardigans; Sneakers,N/A,Tanks,Sneakers,Neutral,Plain,N/A,Tight,Tight
Outfit92,Woman,YoungAdult,Casual,Cold,Sometimes,Grungy; Streetwear,Shirts; Jackets; Skirts; Boots,Skirts,T-shirts,Boots,Neutral,Plaids,Cotton; Faux Leather,Loose,Loose
Outfit93,Woman,YoungAdult,Casual,Cold,Sometimes,Grungy; Streetwear,Athletic_tops; Blazers; Skirts; Loafers,Skirts,Tanks,Flats,Neutral,Plaids,Cotton; Faux Leather,Tight,Loose
Outfit94,Woman,YoungAdult,Corporate,Warm,Rarely,Classy; Sexy,Dresses; Heels,N/A,Tanks,Heels,Neutral,Plain,N/A,Tight,Tight
Outfit95,Woman,YoungAdult,Corporate,Warm,Rarely,Classy; Showy,Dresses; Heels,N/A,Tanks,Heels,Warm,Plain,N/A,Tight,Tight
Outfit96,Woman,YoungAdult,Corporate,Warm,Rarely,Classy; Sexy,Dresses; Heels,N/A,Tanks,Heels,Neutral,Plain,N/A,Tight,Tight
Outfit97,Woman,YoungAdult,Corporate,Warm,Rarely,Classy; Sexy,Dresses; Heels,N/A,Tanks,Heels,Neutral,Plain,N/A,Tight,Tight
Outfit98,Woman,YoungAdult,Corporate,Warm,Rarely,Classy; Sexy,Dresses; Heels,N/A,Tanks,Heels,Neutral,Plain,N/A,Tight,Tight
Outfit99,Woman,YoungAdult,Semi-Formal,Cold,Sometimes,Classy; Laidback,Shirts; Athletic_tops; Jeans; Boots,Trousers,T-shirts,Boots,Neutral,Plain,Cotton,Fitted,Straight
Outfit100,Woman,YoungAdult,Casual,Cold,Sometimes,Classy; Laidback,Sweaters; Skirts; Boots,Skirts,Sweaters,Boots,Neutral,Plaids,Cotton; N/A,Loose,Loose
Outfit101,Woman,Adult,Corporate,Warm,Rarely,Classy; Sexy,Athletic_tops; Pants; Heels,Trousers,Tanks,Heels,Neutral,Plain,N/A,Tight,Tight
Outfit102,Woman,Adult,Corporate,Warm,Rarely,Classy; Sexy,Dresses; Heels,N/A,Tanks,Heels,Neutral,Plain,N/A,Tight,Tight
Outfit103,Woman,Adult,Corporate,Warm,Rarely,Classy; Showy,Dresses; Heels,N/A,Tanks,Heels,Warm,Plain,N/A,Tight,Tight
Outfit104,Woman,Adult,Semi-Formal,Warm,Sometimes,Classy; Sexy,Dresses; Heels,N/A,Tanks,Heels,Neutral,Plain,N/A,Tight,Tight
Outfit105,Woman,Adult,Semi-Formal,Warm,Sometimes,Classy; Laidback,Blouses; Pants; Heels,Trousers,Tanks,Heels,Neutral,Plain,N/A,Tight,Loose
Outfit106,Woman,Adult,Semi-Formal,Warm,Sometimes,Classy; Laidback,Blazers; Athletic_tops; Skirts; Heels,Skirts,Tanks,Heels,Cool; Warm,Plain,Cotton; N/A,Tight,Tight
Outfit107,Woman,Adult,Semi-Formal,Warm,Sometimes,Classy; Showy,Blouses; Pants; Heels,Trousers,Tanks,Heels,Neutral,Plain,N/A,Loose,Tight
Outfit108,Woman,Adult,Semi-Formal,Warm,Sometimes,Classy; Showy,Blazers; Blouses; Shorts; Heels,Shorts,Tanks,Heels,Cool; Warm,Plain,Cotton; N/A,Tight,Tight
Outfit109,Woman,Adult,Casual,Warm,Often,Laidback; Casual,Blouses; Skirts; Heels,Skirts,Tanks,Heels,Warm; Neutral,Plain,Cotton; N/A,Loose,Tight
Outfit110,Woman,Adult,Casual,Warm,Often,Laidback; Casual,Sweaters; Shorts; Heels,Shorts,Sweaters,Heels,Cool; Warm,Plain,Cotton; N/A,Loose,Tight
Outfit111,Woman,Adult,Casual,Warm,Often,Showy; Casual,Blazers; Blouses; Pants; Heels,Trousers,Tanks,Heels,Warm; Neutral,Plain,Cotton; Denim,Tight,Loose
Outfit112,Woman,Adult,Semi-Formal,Warm,Sometimes,Classy; Showy,Blouses; Pants; Heels,Trousers,T-shirts,Heels,Warm; Neutral,Plain,Cotton; N/A,Loose,Loose
Outfit113,Woman,Adult,Semi-Formal,Warm,Sometimes,Classy; Showy,Coats; Blouses; Pants; Heels,Trousers,Tanks,Heels,Warm; Neutral,Plain,Cotton; N/A,Loose,Loose
Outfit114,Woman,Adult,Semi-Formal,Cold,Sometimes,Classy; Laidback,Coats; Blouses; Pants; Sneakers,Trousers,Sweaters,Sneakers,Cool; Warm,Plain,Wool; Cotton,Loose,Loose
Outfit115,Woman,Adult,Semi-Formal,Cold,Sometimes,Classy; Showy,Coats; Blouses; Pants; Boots,Trousers,Sweaters,Boots,Cool; Warm,Plain,Wool; Cotton,Loose,Loose
Outfit116,Woman,Adult,Semi-Formal,Warm,Sometimes,Classy; Showy,Blazers; Shirts; Pants; Heels,Trousers,T-shirts,Heels,Cool; Warm,Plain,Cotton; N/A,Loose,Loose
Outfit117,Woman,Adult,Semi-Formal,Warm,Sometimes,Classy; Showy,Dresses; Heels,N/A,N/A,Heels,Warm,Plain,Cotton; N/A,Loose,Loose
Outfit118,Woman,Adult,Semi-Formal,Warm,Sometimes,Classy; Showy,Blazers; Dresses; Boots,N/A,N/A,Boots,Warm; Neutral,Plain,Cotton; N/A,Loose,Loose
Outfit119,Woman,Adult,Casual,Cold,Often,Classy; Showy,Sweaters; Pants; Heels,Trousers,Sweaters,Heels,Cool; Warm,Plain,Wool; Cotton,Loose,Loose
Outfit120,Woman,Adult,Casual,Warm,Often,Classy; Showy,Sweaters; Skirts; Heels,Skirts,Sweaters,Heels,Cool; Warm,Plain,Wool; Cotton,Loose,Loose
Outfit121,Woman,Adult,Corporate,Warm,Rarely,Classy; Showy,Dresses; Heels,N/A,Tanks,Heels,Warm,Plain,N/A,Tight,Tight
Outfit122,Man,Adult,Semi-Formal,Cold,Rarely,Classy; Colorful,Blazers; Trousers; Loafers,Trousers,N/A,Flats,Warm; Cool,Plain,Wool; Cotton,Fitted,Fitted
Outfit123,Man,Adult,Casual,Warm,Often,Casual; Colorful,Jackets; Trousers; Sneakers,Trousers,N/A,Sneakers,Warm; Cool,Plain,Cotton,Loose,Loose
Outfit124,Man,Adult,Casual,Cold,Often,Laidback,Athletic_tops; T-shirts; Trousers; Loafers,Trousers,Tanks; T-shirts,Flats,Neutral,Plain,Wool; Cotton,Loose,Loose
Outfit125,Man,Adult,Casual,Cold,Often,Colorful; Laidback,Sweaters; Trousers; Sneakers,Trousers,Sweaters,Sneakers,Cool,Plain,Wool; Cotton,Loose,Loose
Outfit126,Man,Adult,Casual,Warm,Often,Colorful; Laidback,T-shirts; Trousers; Sneakers,Trousers,T-shirts,Sneakers,Cool,Plain,Cotton,Loose,Loose
Outfit127,Man,Adult,Semi-Formal,Cold,Rarely,Classy; Colorful,Blazers; Trousers; Sneakers,Trousers,N/A,Sneakers,Warm,Plain,Wool; Cotton,Fitted,Loose
Outfit128,Man,Adult,Semi-Formal,Cold,Rarely,Classy; Formal,Blazers; Trousers,Trousers,N/A,N/A,Cool,Plain,Wool; Cotton,Loose,Loose
Outfit129,Man,Adult,Casual,Cold,Often,Laidback; Casual,Jackets; Trousers; Sneakers,Trousers,N/A; Sweaters,Sneakers,Cool,Plain,Wool; Cotton,Loose,Loose
Outfit130,Man,Adult,Casual,Warm,Often,Casual,Shirts; Trousers,Trousers,T-shirts,N/A,Warm; Cool,Stripes,Cotton,Loose,Loose
Outfit131,Man,Adult,Casual,Warm,Often,Colorful; Laidback,Shirts; Trousers; Sneakers,Trousers,T-shirts,Sneakers,Warm; Cool,Florals,Cotton,Loose,Loose
Outfit132,Man,Adult,Casual,Warm,Often,Laidback; Casual,Sweaters; Trousers; Sneakers,Trousers,Sweaters,Sneakers,Cool,Plain,Wool; Cotton,Loose,Loose
Outfit133,Man,Adult,Semi-Formal,Cool,Rarely,Classy,Cardigans; Trousers; Loafers,Trousers,Sweaters,Flats,Warm; Cool,Plain,Wool; Cotton,Loose,Loose
Outfit134,Man,Adult,Casual,Cold,Often,Casual; Streetwear,Jackets; Trousers; Sneakers,Trousers,N/A,Sneakers,Warm; Cool,Plain,Wool; Cotton,Loose,Loose
Outfit135,Man,Adult,Casual,Cold,Often,Laidback; Casual,Cardigans; Trousers; Sneakers,Trousers,Sweaters,Sneakers,Warm; Cool,Plain,Wool; Cotton,Loose,Loose
Outfit136,Man,Adult,Casual,Warm,Often,Casual; Laidback,Shirts; Trousers; Sneakers,Trousers,T-shirts,Sneakers,Warm; Cool,N/A,Cotton,Loose,Loose
Outfit137,Man,Adult,Casual,Warm,Often,Casual; Laidback,Shirts; Trousers; Boots,Trousers,T-shirts,Boots,Warm,Plain,Cotton,Loose,Loose
Outfit138,Man,Adult,Casual,Cool,Often,Casual; Streetwear,Jackets; Trousers; Sneakers,Trousers,N/A,Sneakers,Warm; Cool,Plain,Wool; Cotton,Loose,Loose
Outfit139,Man,Adult,Casual,Warm,Often,Laidback; Casual,T-shirts; Trousers; Sneakers,Trousers,T-shirts,Sneakers,Neutral,Plain,Cotton,Loose,Loose
Outfit140,Man,Adult,Casual,Cool,Often,Casual; Streetwear,Jackets; Trousers; Sneakers,Trousers,N/A,Sneakers,Neutral,Plain,"Wool, Cotton",Loose,Loose
Outfit141,Man,Adult,Casual,Warm,Often,Laidback; Casual,Sweaters; Trousers; Sneakers,Trousers,Sweaters,Sneakers,Neutral,Plain,"Wool, Cotton",Loose,Loose
Outfit142,Man,Adult,Casual,Warm,Often,Laidback; Casual,Sweaters; Trousers,Trousers,Sweaters,N/A,Warm,Plain,"Wool, Cotton",Loose,Loose
Outfit143,Man,Adult,Casual,Warm,Often,Casual; Laidback,Shirts; Trousers; Sneakers,Trousers,T-shirts,Sneakers,Warm; Cool,Plain,Cotton,Loose,Loose
Outfit144,Man,Adult,Casual,Warm,Often,Casual; Laidback,T-shirts; Trousers; Boots,Trousers,T-shirts,Boots,Cool,Plain,Cotton,Loose,Loose
